Country,Region,Energy_Type,Year,Unit,Energy_Production,Energy_Consumption,Energy_Imports,Energy_Exports,Renewable_Percentage,CO2_Emissions_Million_Tons,GDP_Billion_USD,Population_Millions,Energy_Intensity,Annual_Growth_Rate_%
Australia,Europe,Coal,2015,Terawatt-hours (TWh),12839,14136,7091,6728,64.9,3631.39,11425.21,653.22,366.12,3.03
Australia,South America,Solar,2018,Terawatt-hours (TWh),18931,44397,13611,11408,24.21,3778.04,14407.54,1045.54,109.23,-1.36
Australia,South America,Oil,2018,Terawatt-hours (TWh),46285,47751,3864,19549,19.39,4598.34,9886.46,503.12,358.28,-0.21
Australia,Africa,Nuclear,2017,Terawatt-hours (TWh),49231,35786,1401,7719,8.86,3146.42,14692,993.34,124.1,3.03
Australia,South America,Nuclear,2018,Terawatt-hours (TWh),30692,7442,11263,2690,38.15,3330.91,2603.66,325.84,143.97,9.53
Australia,South America,Oil,2021,Terawatt-hours (TWh),47849,13269,6968,14444,67.34,961.53,18341.66,1075.77,299.48,6.13
Australia,South America,Solar,2021,Terawatt-hours (TWh),16582,48354,12061,19395,6.96,2103.93,6149.57,1408.83,131.19,4.05
Australia,Europe,Natural Gas,2018,Terawatt-hours (TWh),38290,20591,10695,148,5.71,2844.1,23006.45,567.82,77.04,5.74
Australia,Europe,Nuclear,2016,Terawatt-hours (TWh),30307,45862,7311,14559,53.02,4254.88,21062.32,1490.65,372.95,7.91
Australia,Africa,Solar,2015,Terawatt-hours (TWh),5649,19117,10117,16737,27.6,4767.12,9771.18,1429.02,71.14,-4.41
Australia,Africa,Wind,2021,Terawatt-hours (TWh),2912,13807,13257,15344,47.78,3824.74,9523.81,1101.5,96.44,-4.95
Australia,Asia,Nuclear,2022,Terawatt-hours (TWh),21448,25238,514,18316,28.7,243.61,14845.58,1036.53,342.23,4.04
Australia,Asia,Coal,2023,Terawatt-hours (TWh),45149,22093,5932,17583,49.83,2516.86,8704.21,156.29,162.3,6.3
Australia,Africa,Coal,2015,Terawatt-hours (TWh),9517,50381,11888,9710,45.45,1119.94,23529.37,668.48,217.65,6.67
Australia,Oceania,Solar,2024,Terawatt-hours (TWh),45649,43681,7146,1794,58.38,4389.3,7038.75,741.24,112.92,-4.7
Australia,Oceania,Natural Gas,2019,Terawatt-hours (TWh),14246,29131,12943,5076,51.97,4768.88,2439.81,875.4,105.39,-0.99
Australia,Africa,Oil,2016,Terawatt-hours (TWh),3430,48744,553,6369,27.16,1263.74,16251.72,837.65,50,8.05
Australia,North America,Nuclear,2018,Terawatt-hours (TWh),31255,37533,13817,11423,36.06,4904.25,13965.03,61.85,106.76,7.17
Australia,Oceania,Oil,2015,Terawatt-hours (TWh),20603,49159,14530,2320,54.83,2983.9,4491.31,257.4,130.8,7.21
Australia,Oceania,Natural Gas,2022,Terawatt-hours (TWh),9390,8999,7005,10136,34.51,934.09,11436.37,774.04,148.14,-3.24
Australia,South America,Solar,2020,Terawatt-hours (TWh),17874,26364,11878,17421,41.48,1361.18,945.14,101.67,153.93,2.1
Australia,North America,Hydro,2019,Terawatt-hours (TWh),33362,6074,2653,9796,46.37,224.19,1413.59,1154.87,373.5,7.83
Australia,South America,Oil,2024,Terawatt-hours (TWh),48440,43207,373,9657,15.96,2151.64,22082.8,230.75,61.09,1.22
Australia,Europe,Solar,2020,Terawatt-hours (TWh),11435,35189,4675,11417,23.02,3473.65,350.33,86.65,355.78,8.8
Australia,North America,Natural Gas,2023,Terawatt-hours (TWh),33469,28930,2884,10234,30.92,1389.08,10754.11,215.04,156.42,-3.86
Australia,South America,Solar,2022,Terawatt-hours (TWh),26795,41432,13036,13004,21.75,2139.13,10749.54,224.57,165.13,5.92
Australia,North America,Natural Gas,2023,Terawatt-hours (TWh),38631,34548,3045,8698,19.82,4067.41,20354.51,1329.69,312.55,8.72
Australia,Europe,Natural Gas,2018,Terawatt-hours (TWh),34309,9001,14769,2686,20.69,3487.73,3146.58,880.1,253.99,8.53
Australia,South America,Natural Gas,2021,Terawatt-hours (TWh),43140,51861,3198,17587,35.52,4214.09,22551.48,859.56,61.05,1.93
Australia,Europe,Natural Gas,2017,Terawatt-hours (TWh),28621,14374,3727,13578,64.95,1188.56,21826.51,641.52,75.21,2.84
Australia,Oceania,Natural Gas,2019,Terawatt-hours (TWh),48199,3488,11308,16953,61.07,1710.72,10195.31,693.04,255.58,2.79
Australia,Africa,Oil,2017,Terawatt-hours (TWh),18438,851,3832,15693,65.33,3389.65,6199.3,684.67,135.34,5.95
Australia,Europe,Hydro,2015,Terawatt-hours (TWh),27686,27127,7448,19531,32.48,933.38,7358.62,285.8,174.39,6.02
Australia,North America,Coal,2017,Terawatt-hours (TWh),10110,41198,3642,15380,23.19,3119.9,1985.42,1407.47,356.44,-1.79
Australia,North America,Natural Gas,2015,Terawatt-hours (TWh),34562,42249,8548,9127,60.68,324.45,4345.25,548.78,93.41,-1.81
Australia,South America,Hydro,2021,Terawatt-hours (TWh),11190,28343,10049,2367,23.65,4791.24,2413.74,741.46,370.53,9.4
Australia,South America,Oil,2018,Terawatt-hours (TWh),45445,51071,7087,9435,34.89,2262.27,10235.34,1279.13,374.77,1.12
Australia,Asia,Nuclear,2022,Terawatt-hours (TWh),5058,5779,14938,14891,47.24,1805.03,22403.74,1484.45,228.49,-0.98
Australia,North America,Nuclear,2021,Terawatt-hours (TWh),41530,49702,4595,16715,36.02,2229.38,20665.35,763.79,157.87,9.3
Australia,Africa,Oil,2017,Terawatt-hours (TWh),32117,35471,6010,16015,37.09,3244.49,8793.29,1300.35,374.58,5.05
Australia,South America,Oil,2021,Terawatt-hours (TWh),27354,46602,10890,7758,20.37,818.93,7701.31,61.12,209.02,8.93
Australia,Africa,Wind,2022,Terawatt-hours (TWh),7381,39271,5791,6070,42.49,4873.71,4603.34,737.43,219.08,2.27
Australia,Asia,Coal,2021,Terawatt-hours (TWh),40492,41395,11920,18870,29.49,1103.47,12151.71,1406.06,260.38,5.58
Australia,Asia,Solar,2021,Terawatt-hours (TWh),46265,21598,11558,4540,63.3,4098.83,9181.88,171.63,245.66,-2.81
Australia,Oceania,Solar,2023,Terawatt-hours (TWh),5444,50957,1360,12464,60.15,4026.14,7989.81,726.51,137.78,-1.62
Australia,North America,Oil,2022,Terawatt-hours (TWh),14512,3077,6098,19906,61.5,2232.34,4370.52,1351.39,303.96,-3.35
Australia,South America,Hydro,2015,Terawatt-hours (TWh),18416,37946,8814,4226,14.86,3416.01,4788.19,1142.1,137.74,0
Australia,South America,Natural Gas,2021,Terawatt-hours (TWh),45677,42903,11204,6805,63.08,3598.07,4151.51,494.45,237.35,-1.66
Australia,Europe,Solar,2018,Terawatt-hours (TWh),44879,10467,13460,12470,34.1,2489.71,13994.38,1481.7,308.66,4.01
Australia,South America,Natural Gas,2020,Terawatt-hours (TWh),47136,4078,2335,11118,45.6,2199.5,20108.03,1266.47,159.13,7.51
Australia,North America,Coal,2021,Terawatt-hours (TWh),49179,21503,13053,8268,15.46,3012.03,9272.85,1475.9,360.33,-3.65
Australia,North America,Nuclear,2015,Terawatt-hours (TWh),33734,1189,9097,12461,16.86,657.5,20454.42,282.68,315.3,0.01
Australia,Europe,Wind,2021,Terawatt-hours (TWh),33870,16586,12598,494,18.51,62.42,19231.52,822.14,343.1,-3.42
Australia,North America,Nuclear,2021,Terawatt-hours (TWh),18485,10216,5043,2881,63.17,1084.97,17307.4,809.78,80.9,0.87
Australia,Africa,Coal,2018,Terawatt-hours (TWh),18974,41363,3493,3177,7.4,920.75,1252.11,916.78,327.9,2.3
Australia,Africa,Solar,2019,Terawatt-hours (TWh),39638,46848,1852,17578,26.82,3170.43,24107.84,920.78,272.06,2.46
Australia,Africa,Oil,2023,Terawatt-hours (TWh),5636,45537,1994,15840,5.54,4515.42,20443,1070.72,252.65,8.58
Australia,Africa,Hydro,2024,Terawatt-hours (TWh),12991,26337,5048,2258,40.62,3950.05,17634.51,40.98,388.1,1.11
Australia,Oceania,Wind,2016,Terawatt-hours (TWh),45461,33524,12057,17477,15.51,581.59,19456.02,1334.37,96.02,-0.92
Australia,North America,Coal,2019,Terawatt-hours (TWh),25437,14171,2499,15661,36.15,3259.68,6523.88,1059.53,89.67,7.45
Australia,North America,Nuclear,2024,Terawatt-hours (TWh),49004,25378,4304,17496,29.94,2679.34,9149.38,79.71,51.2,-1.04
Australia,North America,Hydro,2020,Terawatt-hours (TWh),22999,46723,7964,14415,51.24,1914.97,17007.82,1062.44,333.48,4.69
Australia,North America,Wind,2016,Terawatt-hours (TWh),38367,12429,4433,9729,43.38,4803.99,3855.23,698.45,322.91,5.73
Australia,Europe,Coal,2021,Terawatt-hours (TWh),4710,8753,12184,5202,44.62,2667.03,21977.79,771.47,108.18,6.59
Australia,Europe,Natural Gas,2019,Terawatt-hours (TWh),1632,7113,3882,1069,33.01,1969.08,4455.38,15.54,206.69,4.43
Australia,South America,Nuclear,2016,Terawatt-hours (TWh),32286,13556,8433,5161,16.79,4655.54,4042.26,1329.77,256.71,-0.2
Australia,Asia,Hydro,2020,Terawatt-hours (TWh),40218,14584,3432,14643,25.59,4617.33,3869.78,1021.52,117.45,0.11
Australia,Asia,Nuclear,2023,Terawatt-hours (TWh),14858,15511,11187,15095,24.6,3148.02,5856.84,100.48,83.57,-2.78
Australia,North America,Solar,2019,Terawatt-hours (TWh),11844,35411,5901,8246,52.14,2187.54,15759.01,469.8,395.82,6.79
Australia,Europe,Coal,2021,Terawatt-hours (TWh),38300,37465,9487,13122,66.51,1624.44,22411.98,370.27,199.3,5.79
Australia,Europe,Hydro,2015,Terawatt-hours (TWh),11183,1791,2278,8752,16.21,462.85,20713.42,411.39,148.22,2.84
Australia,North America,Nuclear,2017,Terawatt-hours (TWh),12628,41621,12061,909,30.13,3006.64,7253.85,236.09,140.28,9.53
Australia,Europe,Solar,2018,Terawatt-hours (TWh),40694,41176,5705,9605,16.59,2981.05,8059.61,488.79,76.53,1.23
